id,nome,descricao,preco,preco_anterior,destaque,marca,peso,unidade,categoria,imagem,favorito,codigo,aliases,imagem_fonte,venda,ativo
"1","Pão Tradicional com Gergelim","Pão sem glúten e sem lactose, com textura suave e finalizado com gergelim.","28.9","","false","Pão de Liz","500 g","1 unidade","Pães","https://paodeliz.com/wp-content/uploads/2026/02/2025_Imagem_ficha-Pao_Tradicional-600x900.png","true",,"[]",,"{}","true"
"2","Pão de Limão Siciliano","Pão artesanal de sabor cítrico, sem glúten e sem lactose.","28.9","","false","Pão de Liz","500 g","1 unidade","Pães","https://paodeliz.com/wp-content/uploads/2026/02/2025_Imagem_ficha-Pao_-Lima%CC%83o-600x900.png","true",,"[]",,"{}","true"
"3","Pão de Nozes com Castanha-do-Pará","Pão artesanal com pedaços de nozes e castanha-do-Pará, sem glúten e sem lactose.","28.9","","false","Pão de Liz","500 g","1 unidade","Pães","https://paodeliz.com/wp-content/uploads/2026/02/2025_Imagem_ficha-Pao_Nozes-600x900.png","true",,"[]",,"{}","true"
"4","Pão de Alecrim","Pão artesanal com delicada mistura de azeite e alecrim, sem glúten e sem lactose.","28.9","","false","Pão de Liz","500 g","1 unidade","Pães","https://paodeliz.com/wp-content/uploads/2026/02/2025_Imagem_ficha-Pao_Alecrim-600x900.png","true",,"[]",,"{}","true"
"5","Pão de Linhaça com Chia","Pão artesanal com linhaça e chia, sem glúten e sem lactose.","","","false","Pão de Liz","500 g","1 unidade","Pães","https://paodeliz.com/wp-content/uploads/2026/02/2025_Imagem_ficha-Pao_Linhac%CC%A7a-600x900.png","true",,"[]",,"{}","true"
"6","Muffin de Cacau Vegano","Muffin de cacau vegano e sem glúten.","25.9","","false","Pão de Liz","160 g","1 embalagem","Snacks","https://paodeliz.com/wp-content/uploads/2026/02/Imagem_Ficha-Muffin_de_Cacau-1-600x900.png","false",,"[]",,"{}","true"
"7","Muffin de Frango, Milho e Cenoura","Muffin salgado de frango, milho e cenoura.","27.9","","false","Pão de Liz","200 g","1 embalagem","Snacks","https://paodeliz.com/wp-content/uploads/2026/02/Imagem_Ficha-Muffin_de_Frango-600x900.png","false",,"[]",,"{}","true"
"8","Muffin de Chocolate","Muffin de chocolate da linha Pão de Liz.","23.9","","false","Pão de Liz","140 g","1 embalagem","Snacks","https://paodeliz.com/wp-content/uploads/2026/02/Imagem_Ficha-Muffin_de_Chocolate-600x900.png","false",,"[]",,"{}","true"
"9","Muffin de Banana","Muffin de banana da linha Pão de Liz.","23.9","","false","Pão de Liz","160 g","1 embalagem","Snacks","https://paodeliz.com/wp-content/uploads/2026/02/Imagem_Ficha-Muffin_de_Banana-600x900.png","false",,"[]",,"{}","true"
"10","Muffin de Coco com Chocolate Branco Low Carb","Muffin de coco com chocolate branco, da linha low carb Pão de Liz.","26.9","","false","Pão de Liz","160 g","1 embalagem","Snacks","https://paodeliz.com/wp-content/uploads/2026/02/Imagem_Ficha-Muffin_de_Coco-600x900.png","false",,"[]",,"{}","true"
